Country,State,Year,City,"Pradhan Mantri Awas Yojana (Pmay) Investment Amount (UOM:INR(IndianRupees)), Scaling Factor:10000000","Pradhan Mantri Awas Yojana (Pmay) Central Assistance Sanctioned (UOM:INR(IndianRupees)), Scaling Factor:10000000","Pradhan Mantri Awas Yojana (Pmay) Central Assistance Released (UOM:INR(IndianRupees)), Scaling Factor:10000000","Pradhan Mantri Awas Yojana (Pmay) Houses Sanctioned (UOM:Number), Scaling Factor:1","Pradhan Mantri Awas Yojana (Pmay) Houses Grounded (UOM:Number), Scaling Factor:1","Pradhan Mantri Awas Yojana (Pmay) Houses Completed (UOM:Number), Scaling Factor:1"
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025",Ongole Development Authority,1402.3700000000000000,585.5400000000000000,444.6600000000000000,39034.000000000000,38743.000000000000,24358.000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Ongole, Municipal Corporation",1096.4700000000000000,353.6100000000000000,209.5400000000000000,23017.000000000000,7563.0000000000000000,5984.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Palacole, Municipality",443.4900000000000000,112.0200000000000000,103.3200000000000000,7419.0000000000000000,7359.0000000000000000,6758.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Palakonda, Town Panchayat",91.4700000000000000,38.3200000000000000,22.4400000000000000,2534.0000000000000000,2428.0000000000000000,1516.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025",Palamaner Kuppam Madanapalle Development Authority,1595.8600000000000000,728.4300000000000000,573.2200000000000000,48562.000000000000,48154.000000000000,34943.000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Palamaneru, Municipality",121.1900000000000000,51.6600000000000000,40.5900000000000000,3429.0000000000000000,3314.0000000000000000,1939.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Palasa Kasibugga, Municipality",190.8800000000000000,73.7200000000000000,36.6900000000000000,4872.0000000000000000,4179.0000000000000000,2412.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Pamidi, Town Panchayat",143.8400000000000000,35.5500000000000000,31.9700000000000000,2367.0000000000000000,2367.0000000000000000,961.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Parvathipuram, Municipality",199.4300000000000000,63.9000000000000000,42.0100000000000000,4210.0000000000000000,3841.0000000000000000,2412.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Pedana, Municipality",100.4500000000000000,42.4500000000000000,40.4100000000000000,2812.0000000000000000,2686.0000000000000000,1915.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Peddapuram, Municipality",306.3900000000000000,85.7000000000000000,61.7700000000000000,5665.0000000000000000,5507.0000000000000000,4493.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Penukonda, Town Panchayat",6.3200000000000000,1.43000000000000000000,0.62000000000000000000,93.0000000000000000,3.0000000000000000,3.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Piduguralla, Municipality",411.9000000000000000,113.3000000000000000,61.2400000000000000,7534.0000000000000000,5384.0000000000000000,3683.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Pithapuram, Municipality",169.6300000000000000,54.4800000000000000,17.5400000000000000,3565.0000000000000000,1481.0000000000000000,1463.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Podili, Town Panchayat",15.1700000000000000,4.2100000000000000,2.6200000000000000,271.0000000000000000,162.0000000000000000,137.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Ponnuru, Municipality",333.9600000000000000,94.9400000000000000,65.6000000000000000,6233.0000000000000000,6095.0000000000000000,3477.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Proddatur, Municipality",761.2700000000000000,238.6700000000000000,242.2800000000000000,15754.0000000000000000,15444.0000000000000000,3345.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Pulivendla, Municipality",300.8500000000000000,143.5300000000000000,112.5600000000000000,9488.0000000000000000,8547.0000000000000000,2970.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Punganur, Municipality",160.1600000000000000,59.4300000000000000,49.5000000000000000,3952.0000000000000000,3837.0000000000000000,3481.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Puttaparthi, Municipality",155.7500000000000000,52.3400000000000000,37.4400000000000000,3477.0000000000000000,3307.0000000000000000,1641.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Puttur, Municipality",156.8800000000000000,51.9900000000000000,41.6800000000000000,3441.0000000000000000,2750.0000000000000000,2127.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025",Rajahmendravaram Development Authority,857.1200000000000000,361.2600000000000000,230.5000000000000000,24051.000000000000,23437.000000000000,11739.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Rajahmundry, Municipal Corporation",1171.0000000000000000,319.0600000000000000,195.4200000000000000,20255.000000000000,19457.0000000000000000,13408.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Rajam, Municipality",93.3700000000000000,31.9400000000000000,36.9400000000000000,2086.0000000000000000,2036.0000000000000000,1475.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Rajampet, Municipality",124.4900000000000000,51.2700000000000000,55.2700000000000000,3399.0000000000000000,3349.0000000000000000,1208.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Ramachandrapuram, Municipality",222.4500000000000000,58.3200000000000000,46.1100000000000000,3825.0000000000000000,3748.0000000000000000,2944.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Rayachoti, Municipality",439.4400000000000000,118.2700000000000000,98.5600000000000000,7790.0000000000000000,7287.0000000000000000,2340.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Rayadurg, Municipality",241.5900000000000000,81.7000000000000000,51.3800000000000000,5444.0000000000000000,4795.0000000000000000,2954.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Repalle, Municipality",224.4800000000000000,60.8500000000000000,56.8800000000000000,3991.0000000000000000,3910.0000000000000000,2238.0000000000000000
